Date,Open,High,Low,Close,Volume,ticker
2020-01-02,38.97,39.48,38.75,39.22,386290,VCB
2020-01-03,39.52,39.66,38.84,38.84,536130,VCB
2020-01-06,38.54,38.66,37.79,37.79,880110,VCB
2020-01-07,37.58,37.97,36.89,37.92,1013270,VCB
2020-01-08,37.54,37.97,37.24,37.58,722280,VCB
2020-01-09,37.88,38.4,37.88,38.32,722670,VCB
2020-01-10,38.32,39.05,37.97,38.66,1526920,VCB
2020-01-13,38.45,38.8,38.45,38.62,1044640,VCB
2020-01-14,38.66,38.88,38.49,38.62,1001130,VCB
2020-01-15,38.71,38.71,38.36,38.58,1471860,VCB
2020-01-16,38.58,39.01,38.4,38.66,1171580,VCB
2020-01-17,38.66,40.82,38.66,40.82,2219790,VCB
2020-01-20,40.82,40.95,40.39,40.6,832190,VCB
2020-01-21,40.56,40.86,40.43,40.6,749590,VCB
2020-01-22,40.6,41.04,40.22,40.35,877710,VCB
2020-01-30,39.78,39.92,37.58,38.4,3541560,VCB
2020-01-31,38.01,38.8,37.88,38.32,1270160,VCB
2020-02-03,36.33,38.97,35.85,38.32,1457070,VCB
2020-02-04,38.45,38.8,37.88,38.8,1118410,VCB
2020-02-05,38.97,39.05,38.36,38.4,731310,VCB
2020-02-06,38.62,39.26,38.36,38.62,889570,VCB
2020-02-07,38.8,39.22,38.45,38.88,1170540,VCB
2020-02-10,38.54,38.66,38.23,38.4,607060,VCB
2020-02-11,38.45,38.66,38.4,38.54,520210,VCB
2020-02-12,38.8,38.8,38.49,38.62,609750,VCB
2020-02-13,38.54,38.66,38.36,38.58,633270,VCB
2020-02-14,38.45,38.8,38.45,38.58,432800,VCB
2020-02-17,38.58,38.84,38.49,38.62,343900,VCB
2020-02-18,38.71,38.71,38.45,38.62,432880,VCB
2020-02-19,38.45,38.66,38.45,38.66,264010,VCB
2020-02-20,38.75,39.05,38.54,38.66,541120,VCB
2020-02-21,38.66,38.66,38.45,38.45,898350,VCB
2020-02-24,37.15,38.01,37.15,37.67,995910,VCB
2020-02-25,37.15,37.58,37.06,37.24,1229530,VCB
2020-02-26,37.15,37.15,36.29,36.71,1163030,VCB
2020-02-27,36.29,36.54,35.81,36.29,1227980,VCB
2020-02-28,34.61,36.03,34.61,35.59,1710080,VCB
2020-03-02,35.2,35.51,35.12,35.33,668980,VCB
2020-03-03,36.07,36.07,35.51,35.51,848270,VCB
2020-03-04,35.42,35.42,34.98,35.29,581530,VCB
2020-03-05,35.51,36.11,35.51,35.9,833710,VCB
2020-03-06,35.85,37.02,35.42,36.5,884750,VCB
2020-03-09,34.12,34.94,33.95,33.95,1209500,VCB
2020-03-10,33.69,34.52,32.57,34.52,1433230,VCB
2020-03-11,34.73,34.73,32.14,33.27,1806190,VCB
2020-03-12,31.1,31.54,30.97,30.97,1582400,VCB
2020-03-13,28.81,31.54,28.81,30.68,1859750,VCB
2020-03-16,30.68,30.68,28.73,28.99,1022550,VCB
2020-03-17,27.47,29.16,27.47,29.16,1364590,VCB
2020-03-18,29.38,30.54,29.38,29.93,1099800,VCB
2020-03-19,29.07,29.67,28.51,28.51,1191150,VCB
2020-03-20,28.51,28.64,26.57,26.57,2763360,VCB
2020-03-23,24.88,25.27,24.71,24.71,1875070,VCB
2020-03-24,24.71,25.23,24.45,25.06,1498070,VCB
2020-03-25,25.92,26.78,25.79,26.78,1835730,VCB
2020-03-26,26.78,27.95,26.57,27.3,1484590,VCB
2020-03-27,27.35,28.47,27.0,27.69,1569620,VCB
2020-03-30,25.96,26.53,25.83,26.35,1637330,VCB
2020-03-31,26.57,27.69,25.92,26.78,957500,VCB
2020-04-01,26.57,28.47,26.57,28.08,1229320,VCB
2020-04-03,28.08,28.64,27.65,28.29,1726690,VCB
2020-04-06,29.16,29.5,28.51,29.38,2111200,VCB
2020-04-07,29.38,29.81,28.85,29.45,1773570,VCB
2020-04-08,28.94,29.45,28.85,29.16,1778380,VCB
2020-04-09,29.38,31.1,29.38,30.68,1795170,VCB
2020-04-10,30.68,31.05,30.07,30.5,1599380,VCB
2020-04-13,30.5,31.01,30.24,30.59,1046830,VCB
2020-04-14,30.46,30.59,29.29,30.19,1944570,VCB
2020-04-15,30.11,30.8,30.11,30.63,1017740,VCB
2020-04-16,30.24,30.76,30.15,30.76,1057050,VCB
2020-04-17,30.88,31.01,30.63,30.84,1473140,VCB
2020-04-20,30.97,31.28,30.59,31.05,1026030,VCB
2020-04-21,30.68,30.88,29.29,30.88,2159110,VCB
2020-04-22,29.81,30.72,29.81,29.93,1612290,VCB
2020-04-23,30.68,30.68,29.72,29.89,1201610,VCB
2020-04-24,29.89,30.07,29.16,29.76,972170,VCB
2020-04-27,30.19,30.19,28.85,28.85,2547060,VCB
