year,Policy,Health,GDP,LF,TFR,ln_GDP,policy
1985.0,0.0,,238.647805313403,,4.206,5.47498884715319,0
1986.0,0.0,,436.419296772225,,3.955,6.078603471066167,0
1987.0,0.0,,595.247488701606,,3.717,6.388977266461149,0
1988.0,0.0,,404.559305078888,,3.623,6.002798339049489,0
1989.0,0.0,,98.1070172159577,,3.641,4.58605889526647,0
1990.0,0.0,,98.7983370311401,50.0448261093982,3.602,4.593080772943545,0
1991.0,0.0,,143.715270231936,50.0021750879596,3.524,4.9678340521013356,0
1992.0,0.0,,144.549392371677,49.9592034262116,3.353,4.9736212648677505,0
1993.0,1.0,,189.418573584332,49.9153169846099,3.172,5.243959241331063,1
1994.0,1.0,,229.857787265757,49.8635601624722,2.941,5.437460801451039,1
1995.0,1.0,,287.802661028593,49.8047486062308,2.7,5.662275040514042,1
1996.0,1.0,,337.051231790277,49.7481223383535,2.468,5.820234941914568,1
1997.0,1.0,,361.643884085566,49.6103519090745,2.274,5.890659982010489,1
1998.0,1.0,,361.350928411167,49.5832231641797,2.098,5.8898495870107785,1
1999.0,1.0,,375.994455900496,49.6246207284931,1.999,5.929574398335697,1
2000.0,1.0,4.10752726,404.029784055118,49.5167647635447,2.028,6.0014885981524575,1
2001.0,1.0,4.80107498,419.205677580901,49.5876407016322,2.023,6.038361676762684,1
2002.0,1.0,3.87075853,445.132861817313,49.4902831554257,2.006,6.098372803485919,1
2003.0,1.0,3.94229889,497.117089249256,49.4087911602509,1.999,6.2088255903999965,1
2004.0,1.0,4.08791971,565.452284586212,49.3429743362075,1.968,6.337625914606657,1
2005.0,1.0,4.31821251,710.746759994861,49.4004738792457,1.887,6.566316191948593,1
2006.0,1.0,4.56979847,807.756645117054,49.4517958471197,1.873,6.694260831370928,1
2007.0,1.0,4.62917614,925.640338348717,49.5020302942614,1.911,6.830485755686894,1
2008.0,1.0,4.36028337,1163.83195772873,49.4754488944552,1.933,7.059473251657147,1
2009.0,1.0,4.48502922,1226.16976051536,49.4390523913276,1.92,7.1116505738887605,1
2010.0,1.0,5.07146072,1683.16182443979,49.1480927961891,1.906,7.428429341939105,1
2011.0,1.0,4.97468519,1950.92504174913,49.0530907564137,1.927,7.576058919459159,1
2012.0,1.0,5.00178242,2185.11767654291,49.2537761340152,1.967,7.689424962620857,1
2013.0,1.0,4.41233158,2359.51736472828,49.28715903733,1.98,7.766212370634288,1
2014.0,1.0,4.69078779,2546.38464459903,49.3392699407741,2.09,7.8424298457105515,1
2015.0,1.0,4.71140909,2577.56885340113,49.1226042773037,2.1,7.854601928784033,1
2016.0,1.0,4.86994743,2735.0604380416,49.1034867313828,2.0,7.913908812616166,1
2017.0,1.0,4.99014759,2956.10992127753,48.8243234789677,1.985,7.991629467194556,1
2018.0,1.0,5.02678823,3222.31003125366,48.7328964768118,1.88,8.07785378233981,1
2019.0,1.0,4.97407484,3440.90025375434,48.3010584863932,1.943,8.143488417802308,1
2020.0,1.0,4.33219814,3534.03953482647,48.0971932185412,1.957,8.170196839808145,1
2021.0,1.0,4.53792429,3704.1935590038,48.5298846141,1.942,8.21722085115122,1
2022.0,1.0,4.53809595,4147.69777213621,48.5921307777529,1.927,8.330308705589859,1
2023.0,1.0,4.56109476,4323.35031982451,48.7588848460667,1.913,8.371785917661148,1
,,,,,,,0
,1.0,,,,,,0
